WellID,Row,Column,Field,ID,Line,Treatment,TreatmentConcentration,RealSet,CLASS,PATH_Crop_Nuc
K11,11,11,1,30,HL1,Untreated,0,train,HEALTHY,Example\IMAGES\CROPS\011011001\30.tif
K11,11,11,1,31,HL1,Untreated,0,train,HEALTHY,Example\IMAGES\CROPS\011011001\31.tif
K11,11,11,1,32,HL1,Untreated,0,train,HEALTHY,Example\IMAGES\CROPS\011011001\32.tif
K11,11,11,1,33,HL1,Untreated,0,train,HEALTHY,Example\IMAGES\CROPS\011011001\33.tif
K11,11,11,1,34,HL1,Untreated,0,train,HEALTHY,Example\IMAGES\CROPS\011011001\34.tif
K11,11,11,1,35,HL1,Untreated,0,train,HEALTHY,Example\IMAGES\CROPS\011011001\35.tif
K11,11,11,1,36,HL1,Untreated,0,train,HEALTHY,Example\IMAGES\CROPS\011011001\36.tif
K11,11,11,1,37,HL1,Untreated,0,train,HEALTHY,Example\IMAGES\CROPS\011011001\37.tif
K11,11,11,1,38,HL1,Untreated,0,train,HEALTHY,Example\IMAGES\CROPS\011011001\38.tif
K11,11,11,1,39,HL1,Untreated,0,train,HEALTHY,Example\IMAGES\CROPS\011011001\39.tif
K11,11,11,1,40,HL1,Untreated,0,train,HEALTHY,Example\IMAGES\CROPS\011011001\40.tif
K11,11,11,1,41,HL1,Untreated,0,train,HEALTHY,Example\IMAGES\CROPS\011011001\41.tif
K11,11,11,1,42,HL1,Untreated,0,train,HEALTHY,Example\IMAGES\CROPS\011011001\42.tif
K11,11,11,1,43,HL1,Untreated,0,train,HEALTHY,Example\IMAGES\CROPS\011011001\43.tif
K11,11,11,1,46,HL1,Untreated,0,train,HEALTHY,Example\IMAGES\CROPS\011011001\46.tif
K11,11,11,1,47,HL1,Untreated,0,train,HEALTHY,Example\IMAGES\CROPS\011011001\47.tif
K11,11,11,1,48,HL1,Untreated,0,train,HEALTHY,Example\IMAGES\CROPS\011011001\48.tif
K11,11,11,1,49,HL1,Untreated,0,train,HEALTHY,Example\IMAGES\CROPS\011011001\49.tif
K11,11,11,1,50,HL1,Untreated,0,train,HEALTHY,Example\IMAGES\CROPS\011011001\50.tif
K11,11,11,1,51,HL1,Untreated,0,train,HEALTHY,Example\IMAGES\CROPS\011011001\51.tif
K11,11,11,1,52,HL1,Untreated,0,train,HEALTHY,Example\IMAGES\CROPS\011011001\52.tif
K11,11,11,1,53,HL1,Untreated,0,train,HEALTHY,Example\IMAGES\CROPS\011011001\53.tif
K11,11,11,1,54,HL1,Untreated,0,train,HEALTHY,Example\IMAGES\CROPS\011011001\54.tif
K11,11,11,1,55,HL1,Untreated,0,train,HEALTHY,Example\IMAGES\CROPS\011011001\55.tif
K11,11,11,1,56,HL1,Untreated,0,train,HEALTHY,Example\IMAGES\CROPS\011011001\56.tif
K11,11,11,1,57,HL1,Untreated,0,train,HEALTHY,Example\IMAGES\CROPS\011011001\57.tif
K11,11,11,1,58,HL1,Untreated,0,train,HEALTHY,Example\IMAGES\CROPS\011011001\58.tif
K11,11,11,1,59,HL1,Untreated,0,train,HEALTHY,Example\IMAGES\CROPS\011011001\59.tif
K11,11,11,1,60,HL1,Untreated,0,train,HEALTHY,Example\IMAGES\CROPS\011011001\60.tif
K11,11,11,1,61,HL1,Untreated,0,train,HEALTHY,Example\IMAGES\CROPS\011011001\61.tif
K11,11,11,1,62,HL1,Untreated,0,train,HEALTHY,Example\IMAGES\CROPS\011011001\62.tif
K11,11,11,1,63,HL1,Untreated,0,train,HEALTHY,Example\IMAGES\CROPS\011011001\63.tif
K11,11,11,1,64,HL1,Untreated,0,train,HEALTHY,Example\IMAGES\CROPS\011011001\64.tif
K11,11,11,1,65,HL1,Untreated,0,train,HEALTHY,Example\IMAGES\CROPS\011011001\65.tif
K11,11,11,1,66,HL1,Untreated,0,train,HEALTHY,Example\IMAGES\CROPS\011011001\66.tif
K11,11,11,1,67,HL1,Untreated,0,train,HEALTHY,Example\IMAGES\CROPS\011011001\67.tif
K11,11,11,1,68,HL1,Untreated,0,train,HEALTHY,Example\IMAGES\CROPS\011011001\68.tif
K11,11,11,1,69,HL1,Untreated,0,train,HEALTHY,Example\IMAGES\CROPS\011011001\69.tif
K11,11,11,1,70,HL1,Untreated,0,train,HEALTHY,Example\IMAGES\CROPS\011011001\70.tif
K11,11,11,1,71,HL1,Untreated,0,train,HEALTHY,Example\IMAGES\CROPS\011011001\71.tif
K11,11,11,1,72,HL1,Untreated,0,train,HEALTHY,Example\IMAGES\CROPS\011011001\72.tif
K11,11,11,1,73,HL1,Untreated,0,train,HEALTHY,Example\IMAGES\CROPS\011011001\73.tif
K11,11,11,1,74,HL1,Untreated,0,train,HEALTHY,Example\IMAGES\CROPS\011011001\74.tif
K11,11,11,1,75,HL1,Untreated,0,train,HEALTHY,Example\IMAGES\CROPS\011011001\75.tif
K11,11,11,1,76,HL1,Untreated,0,train,HEALTHY,Example\IMAGES\CROPS\011011001\76.tif
K11,11,11,1,77,HL1,Untreated,0,train,HEALTHY,Example\IMAGES\CROPS\011011001\77.tif
K11,11,11,1,78,HL1,Untreated,0,train,HEALTHY,Example\IMAGES\CROPS\011011001\78.tif
K11,11,11,1,79,HL1,Untreated,0,train,HEALTHY,Example\IMAGES\CROPS\011011001\79.tif
K11,11,11,1,80,HL1,Untreated,0,train,HEALTHY,Example\IMAGES\CROPS\011011001\80.tif
K11,11,11,1,81,HL1,Untreated,0,train,HEALTHY,Example\IMAGES\CROPS\011011001\81.tif
K11,11,11,1,82,HL1,Untreated,0,train,HEALTHY,Example\IMAGES\CROPS\011011001\82.tif
K11,11,11,1,83,HL1,Untreated,0,train,HEALTHY,Example\IMAGES\CROPS\011011001\83.tif
K11,11,11,1,84,HL1,Untreated,0,train,HEALTHY,Example\IMAGES\CROPS\011011001\84.tif
K11,11,11,1,85,HL1,Untreated,0,train,HEALTHY,Example\IMAGES\CROPS\011011001\85.tif
K11,11,11,1,86,HL1,Untreated,0,train,HEALTHY,Example\IMAGES\CROPS\011011001\86.tif
K11,11,11,1,87,HL1,Untreated,0,train,HEALTHY,Example\IMAGES\CROPS\011011001\87.tif
K11,11,11,1,89,HL1,Untreated,0,train,HEALTHY,Example\IMAGES\CROPS\011011001\89.tif
K11,11,11,1,90,HL1,Untreated,0,train,HEALTHY,Example\IMAGES\CROPS\011011001\90.tif
K11,11,11,1,91,HL1,Untreated,0,train,HEALTHY,Example\IMAGES\CROPS\011011001\91.tif
K11,11,11,1,92,HL1,Untreated,0,train,HEALTHY,Example\IMAGES\CROPS\011011001\92.tif
K11,11,11,1,93,HL1,Untreated,0,train,HEALTHY,Example\IMAGES\CROPS\011011001\93.tif
K11,11,11,1,94,HL1,Untreated,0,train,HEALTHY,Example\IMAGES\CROPS\011011001\94.tif
K11,11,11,1,95,HL1,Untreated,0,train,HEALTHY,Example\IMAGES\CROPS\011011001\95.tif
K11,11,11,1,96,HL1,Untreated,0,train,HEALTHY,Example\IMAGES\CROPS\011011001\96.tif
K11,11,11,1,97,HL1,Untreated,0,train,HEALTHY,Example\IMAGES\CROPS\011011001\97.tif
K11,11,11,1,98,HL1,Untreated,0,train,HEALTHY,Example\IMAGES\CROPS\011011001\98.tif
K11,11,11,1,99,HL1,Untreated,0,train,HEALTHY,Example\IMAGES\CROPS\011011001\99.tif
K11,11,11,1,100,HL1,Untreated,0,train,HEALTHY,Example\IMAGES\CROPS\011011001\100.tif
K11,11,11,1,101,HL1,Untreated,0,train,HEALTHY,Example\IMAGES\CROPS\011011001\101.tif
K11,11,11,1,102,HL1,Untreated,0,train,HEALTHY,Example\IMAGES\CROPS\011011001\102.tif
K11,11,11,1,103,HL1,Untreated,0,train,HEALTHY,Example\IMAGES\CROPS\011011001\103.tif
K11,11,11,1,104,HL1,Untreated,0,train,HEALTHY,Example\IMAGES\CROPS\011011001\104.tif
K11,11,11,1,105,HL1,Untreated,0,train,HEALTHY,Example\IMAGES\CROPS\011011001\105.tif
K11,11,11,1,106,HL1,Untreated,0,train,HEALTHY,Example\IMAGES\CROPS\011011001\106.tif
K11,11,11,1,107,HL1,Untreated,0,train,HEALTHY,Example\IMAGES\CROPS\011011001\107.tif
K11,11,11,1,108,HL1,Untreated,0,train,HEALTHY,Example\IMAGES\CROPS\011011001\108.tif
K11,11,11,1,109,HL1,Untreated,0,train,HEALTHY,Example\IMAGES\CROPS\011011001\109.tif
K11,11,11,1,110,HL1,Untreated,0,train,HEALTHY,Example\IMAGES\CROPS\011011001\110.tif
K11,11,11,1,111,HL1,Untreated,0,train,HEALTHY,Example\IMAGES\CROPS\011011001\111.tif
K11,11,11,1,112,HL1,Untreated,0,train,HEALTHY,Example\IMAGES\CROPS\011011001\112.tif
K11,11,11,1,113,HL1,Untreated,0,train,HEALTHY,Example\IMAGES\CROPS\011011001\113.tif
K11,11,11,1,114,HL1,Untreated,0,train,HEALTHY,Example\IMAGES\CROPS\011011001\114.tif
K11,11,11,1,115,HL1,Untreated,0,train,HEALTHY,Example\IMAGES\CROPS\011011001\115.tif
K11,11,11,1,116,HL1,Untreated,0,train,HEALTHY,Example\IMAGES\CROPS\011011001\116.tif
K11,11,11,1,117,HL1,Untreated,0,train,HEALTHY,Example\IMAGES\CROPS\011011001\117.tif
K11,11,11,1,118,HL1,Untreated,0,train,HEALTHY,Example\IMAGES\CROPS\011011001\118.tif
K11,11,11,1,119,HL1,Untreated,0,train,HEALTHY,Example\IMAGES\CROPS\011011001\119.tif
K11,11,11,1,120,HL1,Untreated,0,train,HEALTHY,Example\IMAGES\CROPS\011011001\120.tif
K11,11,11,1,121,HL1,Untreated,0,train,HEALTHY,Example\IMAGES\CROPS\011011001\121.tif
K11,11,11,1,122,HL1,Untreated,0,train,HEALTHY,Example\IMAGES\CROPS\011011001\122.tif
K11,11,11,1,123,HL1,Untreated,0,train,HEALTHY,Example\IMAGES\CROPS\011011001\123.tif
K11,11,11,1,126,HL1,Untreated,0,train,HEALTHY,Example\IMAGES\CROPS\011011001\126.tif
K11,11,11,1,127,HL1,Untreated,0,train,HEALTHY,Example\IMAGES\CROPS\011011001\127.tif
K11,11,11,1,128,HL1,Untreated,0,train,HEALTHY,Example\IMAGES\CROPS\011011001\128.tif
K11,11,11,1,129,HL1,Untreated,0,train,HEALTHY,Example\IMAGES\CROPS\011011001\129.tif
K11,11,11,1,130,HL1,Untreated,0,train,HEALTHY,Example\IMAGES\CROPS\011011001\130.tif
K11,11,11,1,131,HL1,Untreated,0,train,HEALTHY,Example\IMAGES\CROPS\011011001\131.tif
K11,11,11,1,132,HL1,Untreated,0,train,HEALTHY,Example\IMAGES\CROPS\011011001\132.tif
K11,11,11,1,133,HL1,Untreated,0,train,HEALTHY,Example\IMAGES\CROPS\011011001\133.tif
K11,11,11,1,134,HL1,Untreated,0,train,HEALTHY,Example\IMAGES\CROPS\011011001\134.tif
K11,11,11,1,135,HL1,Untreated,0,train,HEALTHY,Example\IMAGES\CROPS\011011001\135.tif
K11,11,11,1,136,HL1,Untreated,0,train,HEALTHY,Example\IMAGES\CROPS\011011001\136.tif
K11,11,11,1,137,HL1,Untreated,0,train,HEALTHY,Example\IMAGES\CROPS\011011001\137.tif
K11,11,11,1,138,HL1,Untreated,0,train,HEALTHY,Example\IMAGES\CROPS\011011001\138.tif
K11,11,11,1,139,HL1,Untreated,0,train,HEALTHY,Example\IMAGES\CROPS\011011001\139.tif
K11,11,11,1,140,HL1,Untreated,0,train,HEALTHY,Example\IMAGES\CROPS\011011001\140.tif
K11,11,11,1,141,HL1,Untreated,0,train,HEALTHY,Example\IMAGES\CROPS\011011001\141.tif
K11,11,11,1,142,HL1,Untreated,0,train,HEALTHY,Example\IMAGES\CROPS\011011001\142.tif
K11,11,11,1,144,HL1,Untreated,0,train,HEALTHY,Example\IMAGES\CROPS\011011001\144.tif
K11,11,11,1,145,HL1,Untreated,0,train,HEALTHY,Example\IMAGES\CROPS\011011001\145.tif
K11,11,11,1,146,HL1,Untreated,0,train,HEALTHY,Example\IMAGES\CROPS\011011001\146.tif
K11,11,11,1,147,HL1,Untreated,0,train,HEALTHY,Example\IMAGES\CROPS\011011001\147.tif
K11,11,11,1,151,HL1,Untreated,0,train,HEALTHY,Example\IMAGES\CROPS\011011001\151.tif
K11,11,11,1,152,HL1,Untreated,0,train,HEALTHY,Example\IMAGES\CROPS\011011001\152.tif
K11,11,11,6,1,HL1,Untreated,0,train,HEALTHY,Example\IMAGES\CROPS\011011006\1.tif
K11,11,11,6,2,HL1,Untreated,0,train,HEALTHY,Example\IMAGES\CROPS\011011006\2.tif
K11,11,11,6,3,HL1,Untreated,0,train,HEALTHY,Example\IMAGES\CROPS\011011006\3.tif
K11,11,11,6,4,HL1,Untreated,0,train,HEALTHY,Example\IMAGES\CROPS\011011006\4.tif
K11,11,11,6,7,HL1,Untreated,0,train,HEALTHY,Example\IMAGES\CROPS\011011006\7.tif
K11,11,11,6,8,HL1,Untreated,0,train,HEALTHY,Example\IMAGES\CROPS\011011006\8.tif
K11,11,11,6,9,HL1,Untreated,0,train,HEALTHY,Example\IMAGES\CROPS\011011006\9.tif
K11,11,11,6,10,HL1,Untreated,0,train,HEALTHY,Example\IMAGES\CROPS\011011006\10.tif
K11,11,11,6,11,HL1,Untreated,0,train,HEALTHY,Example\IMAGES\CROPS\011011006\11.tif
K11,11,11,6,12,HL1,Untreated,0,train,HEALTHY,Example\IMAGES\CROPS\011011006\12.tif
K11,11,11,6,13,HL1,Untreated,0,train,HEALTHY,Example\IMAGES\CROPS\011011006\13.tif
K11,11,11,6,14,HL1,Untreated,0,train,HEALTHY,Example\IMAGES\CROPS\011011006\14.tif
K11,11,11,6,15,HL1,Untreated,0,train,HEALTHY,Example\IMAGES\CROPS\011011006\15.tif
K11,11,11,6,16,HL1,Untreated,0,train,HEALTHY,Example\IMAGES\CROPS\011011006\16.tif
K11,11,11,6,17,HL1,Untreated,0,train,HEALTHY,Example\IMAGES\CROPS\011011006\17.tif
K11,11,11,6,18,HL1,Untreated,0,train,HEALTHY,Example\IMAGES\CROPS\011011006\18.tif
K11,11,11,6,19,HL1,Untreated,0,train,HEALTHY,Example\IMAGES\CROPS\011011006\19.tif
K11,11,11,6,20,HL1,Untreated,0,train,HEALTHY,Example\IMAGES\CROPS\011011006\20.tif
K11,11,11,6,21,HL1,Untreated,0,train,HEALTHY,Example\IMAGES\CROPS\011011006\21.tif
K11,11,11,6,23,HL1,Untreated,0,train,HEALTHY,Example\IMAGES\CROPS\011011006\23.tif
K11,11,11,6,24,HL1,Untreated,0,train,HEALTHY,Example\IMAGES\CROPS\011011006\24.tif
K11,11,11,6,25,HL1,Untreated,0,train,HEALTHY,Example\IMAGES\CROPS\011011006\25.tif
K11,11,11,6,26,HL1,Untreated,0,train,HEALTHY,Example\IMAGES\CROPS\011011006\26.tif
K11,11,11,6,27,HL1,Untreated,0,train,HEALTHY,Example\IMAGES\CROPS\011011006\27.tif
K11,11,11,6,28,HL1,Untreated,0,train,HEALTHY,Example\IMAGES\CROPS\011011006\28.tif
K11,11,11,6,29,HL1,Untreated,0,train,HEALTHY,Example\IMAGES\CROPS\011011006\29.tif
K11,11,11,6,30,HL1,Untreated,0,train,HEALTHY,Example\IMAGES\CROPS\011011006\30.tif
K11,11,11,6,31,HL1,Untreated,0,train,HEALTHY,Example\IMAGES\CROPS\011011006\31.tif
K11,11,11,6,32,HL1,Untreated,0,train,HEALTHY,Example\IMAGES\CROPS\011011006\32.tif
K11,11,11,6,33,HL1,Untreated,0,train,HEALTHY,Example\IMAGES\CROPS\011011006\33.tif
K11,11,11,6,34,HL1,Untreated,0,train,HEALTHY,Example\IMAGES\CROPS\011011006\34.tif
K11,11,11,6,35,HL1,Untreated,0,train,HEALTHY,Example\IMAGES\CROPS\011011006\35.tif
K11,11,11,6,36,HL1,Untreated,0,train,HEALTHY,Example\IMAGES\CROPS\011011006\36.tif
K11,11,11,6,37,HL1,Untreated,0,train,HEALTHY,Example\IMAGES\CROPS\011011006\37.tif
K11,11,11,6,38,HL1,Untreated,0,train,HEALTHY,Example\IMAGES\CROPS\011011006\38.tif
K11,11,11,6,39,HL1,Untreated,0,train,HEALTHY,Example\IMAGES\CROPS\011011006\39.tif
K11,11,11,6,40,HL1,Untreated,0,train,HEALTHY,Example\IMAGES\CROPS\011011006\40.tif
K11,11,11,6,41,HL1,Untreated,0,train,HEALTHY,Example\IMAGES\CROPS\011011006\41.tif
K11,11,11,6,42,HL1,Untreated,0,train,HEALTHY,Example\IMAGES\CROPS\011011006\42.tif
K11,11,11,6,43,HL1,Untreated,0,train,HEALTHY,Example\IMAGES\CROPS\011011006\43.tif
K11,11,11,6,44,HL1,Untreated,0,train,HEALTHY,Example\IMAGES\CROPS\011011006\44.tif
K11,11,11,6,49,HL1,Untreated,0,train,HEALTHY,Example\IMAGES\CROPS\011011006\49.tif
K11,11,11,6,50,HL1,Untreated,0,train,HEALTHY,Example\IMAGES\CROPS\011011006\50.tif
K11,11,11,6,51,HL1,Untreated,0,train,HEALTHY,Example\IMAGES\CROPS\011011006\51.tif
K11,11,11,6,52,HL1,Untreated,0,train,HEALTHY,Example\IMAGES\CROPS\011011006\52.tif
K11,11,11,6,53,HL1,Untreated,0,train,HEALTHY,Example\IMAGES\CROPS\011011006\53.tif
K11,11,11,6,54,HL1,Untreated,0,train,HEALTHY,Example\IMAGES\CROPS\011011006\54.tif
K11,11,11,6,55,HL1,Untreated,0,train,HEALTHY,Example\IMAGES\CROPS\011011006\55.tif
K11,11,11,6,56,HL1,Untreated,0,train,HEALTHY,Example\IMAGES\CROPS\011011006\56.tif
K11,11,11,6,57,HL1,Untreated,0,train,HEALTHY,Example\IMAGES\CROPS\011011006\57.tif
K11,11,11,6,58,HL1,Untreated,0,train,HEALTHY,Example\IMAGES\CROPS\011011006\58.tif
K11,11,11,6,59,HL1,Untreated,0,train,HEALTHY,Example\IMAGES\CROPS\011011006\59.tif
K11,11,11,6,60,HL1,Untreated,0,train,HEALTHY,Example\IMAGES\CROPS\011011006\60.tif
K11,11,11,6,61,HL1,Untreated,0,train,HEALTHY,Example\IMAGES\CROPS\011011006\61.tif
K11,11,11,6,62,HL1,Untreated,0,train,HEALTHY,Example\IMAGES\CROPS\011011006\62.tif
K11,11,11,6,63,HL1,Untreated,0,train,HEALTHY,Example\IMAGES\CROPS\011011006\63.tif
K11,11,11,6,64,HL1,Untreated,0,train,HEALTHY,Example\IMAGES\CROPS\011011006\64.tif
K11,11,11,6,65,HL1,Untreated,0,train,HEALTHY,Example\IMAGES\CROPS\011011006\65.tif
K11,11,11,6,66,HL1,Untreated,0,train,HEALTHY,Example\IMAGES\CROPS\011011006\66.tif
K11,11,11,6,67,HL1,Untreated,0,train,HEALTHY,Example\IMAGES\CROPS\011011006\67.tif
K11,11,11,6,68,HL1,Untreated,0,train,HEALTHY,Example\IMAGES\CROPS\011011006\68.tif
K11,11,11,6,69,HL1,Untreated,0,train,HEALTHY,Example\IMAGES\CROPS\011011006\69.tif
K11,11,11,6,70,HL1,Untreated,0,train,HEALTHY,Example\IMAGES\CROPS\011011006\70.tif
K11,11,11,6,71,HL1,Untreated,0,train,HEALTHY,Example\IMAGES\CROPS\011011006\71.tif
K11,11,11,6,72,HL1,Untreated,0,train,HEALTHY,Example\IMAGES\CROPS\011011006\72.tif
K11,11,11,6,73,HL1,Untreated,0,train,HEALTHY,Example\IMAGES\CROPS\011011006\73.tif
K11,11,11,6,74,HL1,Untreated,0,train,HEALTHY,Example\IMAGES\CROPS\011011006\74.tif
K11,11,11,6,75,HL1,Untreated,0,train,HEALTHY,Example\IMAGES\CROPS\011011006\75.tif
K11,11,11,6,76,HL1,Untreated,0,train,HEALTHY,Example\IMAGES\CROPS\011011006\76.tif
K11,11,11,6,77,HL1,Untreated,0,train,HEALTHY,Example\IMAGES\CROPS\011011006\77.tif
K11,11,11,6,78,HL1,Untreated,0,train,HEALTHY,Example\IMAGES\CROPS\011011006\78.tif
K11,11,11,6,79,HL1,Untreated,0,train,HEALTHY,Example\IMAGES\CROPS\011011006\79.tif
K11,11,11,6,80,HL1,Untreated,0,train,HEALTHY,Example\IMAGES\CROPS\011011006\80.tif
K11,11,11,6,81,HL1,Untreated,0,train,HEALTHY,Example\IMAGES\CROPS\011011006\81.tif
K11,11,11,6,82,HL1,Untreated,0,train,HEALTHY,Example\IMAGES\CROPS\011011006\82.tif
K11,11,11,6,83,HL1,Untreated,0,train,HEALTHY,Example\IMAGES\CROPS\011011006\83.tif
K11,11,11,6,84,HL1,Untreated,0,train,HEALTHY,Example\IMAGES\CROPS\011011006\84.tif
K11,11,11,6,85,HL1,Untreated,0,train,HEALTHY,Example\IMAGES\CROPS\011011006\85.tif
K11,11,11,6,86,HL1,Untreated,0,train,HEALTHY,Example\IMAGES\CROPS\011011006\86.tif
K11,11,11,6,87,HL1,Untreated,0,train,HEALTHY,Example\IMAGES\CROPS\011011006\87.tif
K11,11,11,6,89,HL1,Untreated,0,train,HEALTHY,Example\IMAGES\CROPS\011011006\89.tif
K11,11,11,6,90,HL1,Untreated,0,train,HEALTHY,Example\IMAGES\CROPS\011011006\90.tif
K11,11,11,6,91,HL1,Untreated,0,train,HEALTHY,Example\IMAGES\CROPS\011011006\91.tif
K11,11,11,6,92,HL1,Untreated,0,train,HEALTHY,Example\IMAGES\CROPS\011011006\92.tif
K11,11,11,6,93,HL1,Untreated,0,train,HEALTHY,Example\IMAGES\CROPS\011011006\93.tif
K11,11,11,6,94,HL1,Untreated,0,train,HEALTHY,Example\IMAGES\CROPS\011011006\94.tif
K11,11,11,6,95,HL1,Untreated,0,train,HEALTHY,Example\IMAGES\CROPS\011011006\95.tif
K11,11,11,6,96,HL1,Untreated,0,train,HEALTHY,Example\IMAGES\CROPS\011011006\96.tif
K11,11,11,6,97,HL1,Untreated,0,train,HEALTHY,Example\IMAGES\CROPS\011011006\97.tif
K11,11,11,6,98,HL1,Untreated,0,train,HEALTHY,Example\IMAGES\CROPS\011011006\98.tif
K11,11,11,6,99,HL1,Untreated,0,train,HEALTHY,Example\IMAGES\CROPS\011011006\99.tif
K11,11,11,6,100,HL1,Untreated,0,train,HEALTHY,Example\IMAGES\CROPS\011011006\100.tif
K11,11,11,6,101,HL1,Untreated,0,train,HEALTHY,Example\IMAGES\CROPS\011011006\101.tif
K11,11,11,6,102,HL1,Untreated,0,train,HEALTHY,Example\IMAGES\CROPS\011011006\102.tif
K11,11,11,6,103,HL1,Untreated,0,train,HEALTHY,Example\IMAGES\CROPS\011011006\103.tif
K11,11,11,6,104,HL1,Untreated,0,train,HEALTHY,Example\IMAGES\CROPS\011011006\104.tif
K11,11,11,6,105,HL1,Untreated,0,train,HEALTHY,Example\IMAGES\CROPS\011011006\105.tif
K11,11,11,6,106,HL1,Untreated,0,train,HEALTHY,Example\IMAGES\CROPS\011011006\106.tif
K11,11,11,6,107,HL1,Untreated,0,train,HEALTHY,Example\IMAGES\CROPS\011011006\107.tif
K11,11,11,6,108,HL1,Untreated,0,train,HEALTHY,Example\IMAGES\CROPS\011011006\108.tif
K11,11,11,6,109,HL1,Untreated,0,train,HEALTHY,Example\IMAGES\CROPS\011011006\109.tif
K11,11,11,6,110,HL1,Untreated,0,train,HEALTHY,Example\IMAGES\CROPS\011011006\110.tif
K11,11,11,6,111,HL1,Untreated,0,train,HEALTHY,Example\IMAGES\CROPS\011011006\111.tif
K11,11,11,6,112,HL1,Untreated,0,train,HEALTHY,Example\IMAGES\CROPS\011011006\112.tif
K11,11,11,6,113,HL1,Untreated,0,train,HEALTHY,Example\IMAGES\CROPS\011011006\113.tif
K11,11,11,6,114,HL1,Untreated,0,train,HEALTHY,Example\IMAGES\CROPS\011011006\114.tif
K11,11,11,6,115,HL1,Untreated,0,train,HEALTHY,Example\IMAGES\CROPS\011011006\115.tif
K11,11,11,6,116,HL1,Untreated,0,train,HEALTHY,Example\IMAGES\CROPS\011011006\116.tif
K11,11,11,6,117,HL1,Untreated,0,train,HEALTHY,Example\IMAGES\CROPS\011011006\117.tif
K11,11,11,6,118,HL1,Untreated,0,train,HEALTHY,Example\IMAGES\CROPS\011011006\118.tif
K11,11,11,6,119,HL1,Untreated,0,train,HEALTHY,Example\IMAGES\CROPS\011011006\119.tif
K11,11,11,6,120,HL1,Untreated,0,train,HEALTHY,Example\IMAGES\CROPS\011011006\120.tif
K11,11,11,6,121,HL1,Untreated,0,train,HEALTHY,Example\IMAGES\CROPS\011011006\121.tif
K11,11,11,6,122,HL1,Untreated,0,train,HEALTHY,Example\IMAGES\CROPS\011011006\122.tif
K11,11,11,6,123,HL1,Untreated,0,train,HEALTHY,Example\IMAGES\CROPS\011011006\123.tif
K11,11,11,6,124,HL1,Untreated,0,train,HEALTHY,Example\IMAGES\CROPS\011011006\124.tif
K11,11,11,6,125,HL1,Untreated,0,train,HEALTHY,Example\IMAGES\CROPS\011011006\125.tif
